,code,name,latitude,longitude,pk
0,6209.0,Milton / Clark,45.51252,-73.57062,
1,6436.0,Côte St-Antoine / Clarke,45.48645209646392,-73.59523415565491,
2,6214.0,Square St-Louis,45.51735,-73.56906,
3,6248.0,St-Dominique / Rachel,45.518593,-73.581566,
4,6164.0,Chambord / Laurier,45.5329550401632,-73.58419418334961,
5,6216.0,Parc Jeanne Mance (monument George-Étienne Cartier),45.51496,-73.58503,
6,6082.0,6e avenue / Rosemont,45.550613,-73.582883,
7,6149.0,Chapleau / du Mont-Royal,45.53867,-73.56936,
8,6265.0,Parthenais / Laurier,45.539259,-73.577338,
9,6211.0,Roy / St-Laurent,45.51561,-73.57569,
10,6252.0,Mozart / St-Laurent,45.53318,-73.61544,
11,6233.0,Bernard / Jeanne-Mance,45.52429587282263,-73.60484719276428,
12,6064.0,de Maisonneuve / Stanley,45.50038,-73.57507,
13,6408.0,Métro George-Vanier (St-Antoine / Canning),45.4891,-73.57656,
14,6068.0,Mansfield / Sherbrooke,45.50297,-73.57505,
15,6093.0,Atwater / Sherbrooke,45.49132174886071,-73.58780980110168,
16,6253.0,Lajeunesse / Jean-Talon,45.53973680304488,-73.61425638198853,
17,6336.0,Faillon / St-Hubert,45.54279435304991,-73.6181053519249,
18,6223.0,du Mont-Royal / du Parc,45.517,-73.589,
19,6062.0,Drummond / Ste-Catherine,45.49863930330429,-73.57422709465027,
20,6434.0,Victoria / de Maisonneuve,45.47742856483265,-73.60016942024231,
21,6099.0,Bishop / de Maisonneuve,45.49741095430152,-73.57827052474022,
22,6280.0,Fairmount / St-Dominique,45.524504989237535,-73.59414249658585,
23,6912.0,de Châteaubriand / Beaubien,45.5353406,-73.60365897,
24,6231.0,St-Viateur/Parc,45.52223310369562,-73.60208183526993,
25,6206.0,Prince-Arthur / du Parc,45.51059,-73.57547,
26,6411.0,Clark / Prince-Arthur,45.513338,-73.57295,
27,6227.0,de l'Esplanade / Laurier,45.521116220989526,-73.59478354454039,
28,6100.0,Mackay /de Maisonneuve (Sud),45.49659,-73.57851,
29,6364.0,Chambly / Rachel,45.54991069359101,-73.55826258659361,
30,6380.0,Parc J.-Arthur-Champagne (Chambly / du Mont-Royal),45.551584,-73.561916,
31,6373.0,7e avenue / St-Joseph,45.547226645250745,-73.56986984610558,
32,6176.0,St-André / Duluth,45.523171,-73.573431,
33,6110.0,Poupart / Ste-Catherine,45.529033,-73.54641,
34,6113.0,Alexandre-DeSève / de Maisonneuve,45.5219,-73.55534,
35,6059.0,Metcalfe / Ste-Catherine,45.50068473942228,-73.57215642929077,
36,6198.0,Hélène-Baillargeon / St-Denis,45.52974,-73.59527,
37,6221.0,du Mont-Royal / Clark,45.51941,-73.58685,
38,6020.0,Sanguinet / Ontario,45.514784,-73.565338,
39,6203.0,Hutchison / Sherbrooke,45.50781,-73.57208,
40,6146.0,du Parc-La Fontaine / Roy,45.52290738118557,-73.56836378574371,
41,6734.0,Lajeunesse / Villeray (place Tapéo),45.54211889,-73.6225471,
42,6080.0,Mackay / René-Lévesque,45.49449932378212,-73.57417345046997,
43,6137.0,Gauthier / Papineau,45.52969260094507,-73.56740087270737,
44,6042.0,de la Gauchetière / Robert-Bourassa,45.500675,-73.565354,
45,6410.0,Lajeunesse / Crémazie,45.54640752148169,-73.63842844963074,
46,6917.0,Basile-Routhier / Chabanel,45.54993323340168,-73.64764451980591,
47,6372.0,1ère avenue / Masson,45.5451997,-73.57645065,
48,6374.0,Laurier / 15e avenue,45.553408,-73.569531,
49,6060.0,Mansfield / René-Lévesque,45.50015,-73.56928,
50,6157.0,de la Roche / du Mont-Royal,45.5287456,-73.57865408,
51,6061.0,Ste-Catherine / McGill College,45.50176,-73.57128,
52,6148.0,Émile-Duployé / Sherbrooke,45.52729,-73.56463,
53,6350.0,Island / Centre,45.48149081388884,-73.56475353240967,
54,6163.0,Marquette / Laurier,45.53543,-73.5822,
55,6184.0,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,
56,6213.0,Duluth / St-Laurent,45.5171,-73.57921,
57,6067.0,de Maisonneuve / Robert-Bourassa,45.503475,-73.572103,
58,6169.0,Boyer / du Mont-Royal,45.52742616970635,-73.57991807162762,
59,6901.0,Ste-Catherine / St-Denis,45.51383004514541,-73.56043249368668,
60,6128.0,Hogan / Ontario,45.53529548038031,-73.55116009712219,
61,6124.0,Poupart / Ontario,45.531834,-73.553478,
62,6041.0,St-Jacques / Gauvin,45.500674,-73.561082,
63,6049.0,Queen / Wellington,45.49759505413604,-73.55523705482483,
64,6142.0,Calixa-Lavallée / Rachel,45.527791,-73.572056,
65,6147.0,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,
66,6395.0,Pierre-de-Coubertin / Aird,45.55896,-73.548687,
67,6152.0,Chabot / du Mont-Royal,45.53413436610843,-73.57349216938019,
68,6138.0,Gauthier / De Lorimier,45.531818,-73.565317,
69,6276.0,Chambord / Bélanger,45.542983030174845,-73.6063814163208,
70,6019.0,Berri / Sherbrooke,45.5179101,-73.56714338,
71,6012.0,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,
72,6034.0,St-Urbain / René-Lévesque,45.5079,-73.563112,
73,6057.0,Peel / avenue des Canadiens de Montréal,45.497697,-73.568646,
74,6085.0,Notre-Dame / Peel,45.4952,-73.56328,
75,6140.0,Marquette / Rachel,45.5298015824607,-73.5702896118164,
76,6902.0,Montcalm / Ontario,45.5210937,-73.56225103,
77,6175.0,St-André / Cherrier,45.520578,-73.567733,
78,6141.0,de Bordeaux / Rachel,45.53227,-73.56828,
79,6154.0,Marquette / du Mont-Royal,45.53229,-73.57544,
80,6268.0,Chambord / Beaubien,45.539932183126695,-73.59934329986572,
81,6906.0,de St-Vallier / Rosemont,45.5319173,-73.59798342,
82,6153.0,Cartier / Marie-Anne,45.532674,-73.571776,
83,6088.0,Guy / Notre-Dame,45.489951,-73.567091,
84,6165.0,Brébeuf / Laurier,45.53248,-73.58507,
85,6114.0,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,
86,6118.0,Champlain / Ontario,45.52504753729988,-73.56003552675247,
87,6117.0,Robin / de la Visitation,45.52087,-73.55922,
88,6201.0,Villeneuve / de l'Hôtel-de-Ville,45.52352540631033,-73.58750939369202,
89,6235.0,St-Dominique / St-Viateur,45.52654331973003,-73.59823286533356,
90,6183.0,Laval / du Mont-Royal,45.52241290921658,-73.58412981033325,
91,6267.0,de Bordeaux / Beaubien,45.54475,-73.5949,
92,6414.0,Laporte / Guay,45.48007342327107,-73.58547896146774,
93,6314.0,de Lanaudière / Marie-Anne,45.529219,-73.574777,
